frame_left,frame_right,frame_top,frame_bottom,xL,yL,xR,yR,xT,yT,xB,yB,id,confidence
0,0,0,0,363.000,201.000,376.000,210.000,363.000,201.000,376.000,210.000,0,0.899041
0,0,0,0,356.000,141.000,372.000,152.000,356.000,141.000,372.000,152.000,1,0.897830
0,0,0,0,369.000,66.000,387.000,67.000,369.000,66.000,387.000,67.000,2,0.892418
0,0,0,0,370.000,84.000,388.000,87.000,370.000,84.000,388.000,87.000,3,0.892395
0,0,0,0,331.000,146.000,345.000,156.000,331.000,146.000,345.000,156.000,4,0.892000
0,0,0,0,332.000,142.000,347.000,150.000,332.000,142.000,347.000,150.000,5,0.891513
0,0,0,0,376.000,68.000,396.000,69.000,376.000,68.000,396.000,69.000,6,0.890046
0,0,0,0,325.000,134.000,339.000,137.000,325.000,134.000,339.000,137.000,7,0.887185
0,0,0,0,319.000,145.000,334.000,154.000,319.000,145.000,334.000,154.000,8,0.886289
0,0,0,0,319.000,139.000,334.000,147.000,319.000,139.000,334.000,147.000,9,0.886170
0,0,0,0,330.000,156.000,345.000,165.000,330.000,156.000,345.000,165.000,10,0.883220
0,0,0,0,383.000,69.000,403.000,70.000,383.000,69.000,403.000,70.000,11,0.879893
0,0,0,0,324.000,155.000,335.000,165.000,324.000,155.000,335.000,165.000,12,0.877414
0,0,0,0,335.000,26.000,351.000,19.000,335.000,26.000,351.000,19.000,13,0.876989
0,0,0,0,363.000,14.000,382.000,11.000,363.000,14.000,382.000,11.000,14,0.876947
0,0,0,0,345.000,171.000,360.000,180.000,345.000,171.000,360.000,180.000,15,0.875174
0,0,0,0,360.000,164.000,375.000,171.000,360.000,164.000,375.000,171.000,16,0.867379
0,0,0,0,215.000,364.000,220.000,376.000,215.000,364.000,220.000,376.000,17,0.865810
0,0,0,0,203.000,359.000,207.000,371.000,203.000,359.000,207.000,371.000,18,0.862644
0,0,0,0,368.000,62.000,386.000,62.000,368.000,62.000,386.000,62.000,19,0.858027
0,0,0,0,209.000,355.000,211.000,367.000,209.000,355.000,211.000,367.000,20,0.855259
0,0,0,0,328.000,160.000,344.000,168.000,328.000,160.000,344.000,168.000,21,0.854382
0,0,0,0,410.000,55.000,432.000,58.000,410.000,55.000,432.000,58.000,22,0.852082
0,0,0,0,204.000,364.000,207.000,375.000,204.000,364.000,207.000,375.000,23,0.850415
0,0,0,0,370.000,92.000,388.000,98.000,370.000,92.000,388.000,98.000,24,0.841435
0,0,0,0,335.000,50.000,351.000,46.000,335.000,50.000,351.000,46.000,25,0.839065
0,0,0,0,410.000,45.000,430.000,51.000,410.000,45.000,430.000,51.000,26,0.838767
0,0,0,0,371.000,106.000,389.000,115.000,371.000,106.000,389.000,115.000,27,0.838348
0,0,0,0,406.000,59.000,424.000,61.000,406.000,59.000,424.000,61.000,28,0.837595
0,0,0,0,191.000,356.000,191.000,370.000,191.000,356.000,191.000,370.000,29,0.834993
0,0,0,0,461.000,240.000,471.000,242.000,461.000,240.000,471.000,242.000,30,0.834699
0,0,0,0,423.000,48.000,444.000,52.000,423.000,48.000,444.000,52.000,31,0.834366
0,0,0,0,417.000,44.000,438.000,46.000,417.000,44.000,438.000,46.000,32,0.830771
0,0,0,0,623.000,182.000,615.000,186.000,623.000,182.000,615.000,186.000,33,0.828057
0,0,0,0,191.000,364.000,191.000,378.000,191.000,364.000,191.000,378.000,34,0.827082
0,0,0,0,383.000,26.000,407.000,24.000,383.000,26.000,407.000,24.000,35,0.826335
0,0,0,0,416.000,59.000,434.000,64.000,416.000,59.000,434.000,64.000,36,0.820965
0,0,0,0,290.000,84.000,302.000,83.000,290.000,84.000,302.000,83.000,37,0.819884
0,0,0,0,371.000,115.000,390.000,120.000,371.000,115.000,390.000,120.000,38,0.818576
0,0,0,0,339.000,130.000,351.000,135.000,339.000,130.000,351.000,135.000,39,0.816337
0,0,0,0,328.000,197.000,340.000,208.000,328.000,197.000,340.000,208.000,40,0.816180
0,0,0,0,523.000,22.000,547.000,29.000,523.000,22.000,547.000,29.000,41,0.814963
0,0,0,0,376.000,106.000,392.000,112.000,376.000,106.000,392.000,112.000,42,0.814940
0,0,0,0,196.000,363.000,199.000,378.000,196.000,363.000,199.000,378.000,43,0.814794
0,0,0,0,362.000,99.000,379.000,106.000,362.000,99.000,379.000,106.000,44,0.812117
0,0,0,0,433.000,22.000,456.000,25.000,433.000,22.000,456.000,25.000,45,0.808009
0,0,0,0,294.000,73.000,303.000,74.000,294.000,73.000,303.000,74.000,46,0.807798
0,0,0,0,431.000,41.000,456.000,47.000,431.000,41.000,456.000,47.000,47,0.806023
0,0,0,0,383.000,126.000,399.000,131.000,383.000,126.000,399.000,131.000,48,0.804744
0,0,0,0,294.000,43.000,307.000,39.000,294.000,43.000,307.000,39.000,49,0.801318
0,0,0,0,433.000,58.000,455.000,59.000,433.000,58.000,455.000,59.000,50,0.800133
0,0,0,0,387.000,13.000,409.000,12.000,387.000,13.000,409.000,12.000,51,0.799696
0,0,0,0,297.000,69.000,307.000,66.000,297.000,69.000,307.000,66.000,52,0.794359
0,0,0,0,284.000,82.000,292.000,81.000,284.000,82.000,292.000,81.000,53,0.779791
0,0,0,0,562.000,108.000,572.000,120.000,562.000,108.000,572.000,120.000,54,0.778742
0,0,0,0,234.000,474.000,239.000,471.000,234.000,474.000,239.000,471.000,55,0.776080
0,0,0,0,383.000,96.000,399.000,104.000,383.000,96.000,399.000,104.000,56,0.771695
0,0,0,0,430.000,33.000,456.000,36.000,430.000,33.000,456.000,36.000,57,0.769413
0,0,0,0,485.000,51.000,506.000,56.000,485.000,51.000,506.000,56.000,58,0.762095
0,0,0,0,149.000,291.000,137.000,309.000,149.000,291.000,137.000,309.000,59,0.733525
1,1,1,1,358.000,149.000,375.000,160.000,358.000,149.000,375.000,160.000,1000,0.895371
1,1,1,1,359.000,157.000,375.000,168.000,359.000,157.000,375.000,168.000,1001,0.889496
1,1,1,1,370.000,84.000,388.000,87.000,370.000,84.000,388.000,87.000,1002,0.888227
1,1,1,1,376.000,68.000,396.000,69.000,376.000,68.000,396.000,69.000,1003,0.886492
1,1,1,1,369.000,66.000,387.000,67.000,369.000,66.000,387.000,67.000,1004,0.885213
1,1,1,1,332.000,142.000,347.000,150.000,332.000,142.000,347.000,150.000,1005,0.878196
1,1,1,1,383.000,69.000,403.000,70.000,383.000,69.000,403.000,70.000,1006,0.877542
1,1,1,1,325.000,134.000,339.000,137.000,325.000,134.000,339.000,137.000,1007,0.877034
1,1,1,1,363.000,14.000,382.000,11.000,363.000,14.000,382.000,11.000,1008,0.875779
1,1,1,1,331.000,146.000,345.000,156.000,331.000,146.000,345.000,156.000,1009,0.875250
1,1,1,1,335.000,26.000,351.000,19.000,335.000,26.000,351.000,19.000,1010,0.875205
1,1,1,1,373.000,136.000,391.000,147.000,373.000,136.000,391.000,147.000,1011,0.874234
1,1,1,1,373.000,80.000,392.000,83.000,373.000,80.000,392.000,83.000,1012,0.872053
1,1,1,1,330.000,156.000,345.000,165.000,330.000,156.000,345.000,165.000,1013,0.870156
1,1,1,1,345.000,171.000,360.000,180.000,345.000,171.000,360.000,180.000,1014,0.870110
1,1,1,1,324.000,155.000,335.000,165.000,324.000,155.000,335.000,165.000,1015,0.864699
1,1,1,1,329.000,142.000,339.000,147.000,329.000,142.000,339.000,147.000,1016,0.860965
1,1,1,1,254.000,316.000,256.000,329.000,254.000,316.000,256.000,329.000,1017,0.847841
