frame,id,xf,yf,wf,hf,label
0,0,0.140172,0.529987,0.123153,0.160014,vehicle
0,1,0.263354,0.319062,0.091037,0.116410,vehicle
0,2,0.285131,0.588827,0.114682,0.174315,vehicle
0,3,0.358244,0.121268,0.032310,0.033434,vehicle
0,4,0.390989,0.092924,0.022115,0.025290,vehicle
0,5,0.391135,0.093367,0.022052,0.025119,vehicle
0,6,0.411699,0.077308,0.022763,0.027374,vehicle
0,7,0.397653,0.270801,0.055621,0.065493,vehicle
0,8,0.424328,0.057490,0.021757,0.028897,vehicle
0,9,0.446944,0.055270,0.012950,0.021236,vehicle
0,10,0.447691,0.028287,0.014130,0.017198,vehicle
0,11,0.438554,0.168887,0.034873,0.038458,vehicle
0,12,0.466517,0.067975,0.016595,0.022330,vehicle
0,13,0.473909,0.006895,0.007358,0.011863,vehicle
0,14,0.600421,0.105238,0.038278,0.026440,vehicle
0,15,0.563657,0.365026,0.148493,0.080095,vehicle
0,16,0.566407,0.407472,0.160455,0.089184,vehicle
0,17,0.570060,0.454002,0.179520,0.106529,vehicle
0,18,0.589045,0.512644,0.174026,0.121363,vehicle
0,19,0.582201,0.593826,0.196727,0.152638,vehicle
0,20,0.627845,0.326590,0.107558,0.076028,vehicle
0,21,0.680438,0.308549,0.099301,0.076502,vehicle
0,22,0.706872,0.286972,0.105927,0.072285,vehicle
0,23,0.779482,0.275808,0.084099,0.073954,vehicle
0,24,0.811900,0.164800,0.084752,0.054279,vehicle
0,25,0.835430,0.270794,0.069916,0.067063,vehicle
0,26,0.877428,0.263847,0.065684,0.065737,vehicle
0,27,0.925906,0.264082,0.058845,0.063154,vehicle
1,1000,0.142178,0.528779,0.121936,0.159231,vehicle
1,1001,0.263880,0.318756,0.090609,0.116299,vehicle
1,1002,0.288065,0.581813,0.112515,0.171881,vehicle
1,1003,0.357929,0.121601,0.032198,0.033523,vehicle
1,1004,0.390887,0.094510,0.021525,0.024689,vehicle
1,1005,0.412072,0.077604,0.021988,0.026381,vehicle
1,1006,0.398618,0.268049,0.055009,0.066028,vehicle
1,1007,0.424220,0.057606,0.021800,0.029595,vehicle
1,1008,0.446807,0.056265,0.013009,0.020959,vehicle
1,1009,0.447606,0.027964,0.014164,0.016407,vehicle
1,1010,0.439083,0.167921,0.034724,0.037626,vehicle
1,1011,0.466662,0.067696,0.016655,0.022381,vehicle
1,1012,0.474002,0.006796,0.007391,0.011678,vehicle
1,1013,0.600514,0.105074,0.038557,0.026545,vehicle
1,1014,0.563284,0.365012,0.148544,0.080679,vehicle
1,1015,0.566401,0.407456,0.160613,0.089074,vehicle
1,1016,0.569977,0.454499,0.179554,0.106265,vehicle
1,1017,0.588850,0.512444,0.174320,0.121114,vehicle
1,1018,0.582265,0.593963,0.196724,0.152231,vehicle
1,1019,0.628103,0.326514,0.107499,0.076253,vehicle
1,1020,0.680692,0.308565,0.099185,0.075909,vehicle
1,1021,0.706799,0.286810,0.105902,0.072095,vehicle
1,1022,0.779392,0.275784,0.084151,0.074335,vehicle
1,1023,0.809195,0.164842,0.085346,0.054582,vehicle
1,1024,0.835421,0.270850,0.070207,0.067067,vehicle
1,1025,0.877684,0.263719,0.065028,0.065769,vehicle
1,1026,0.925899,0.264198,0.058825,0.063064,vehicle
2,2000,0.142942,0.527618,0.122164,0.158607,vehicle
2,2001,0.264602,0.317542,0.090162,0.116538,vehicle
2,2002,0.290500,0.575531,0.110648,0.168550,vehicle
2,2003,0.356631,0.122513,0.032917,0.033959,vehicle
2,2004,0.390474,0.094848,0.021798,0.025178,vehicle
2,2005,0.411777,0.077848,0.021622,0.026416,vehicle
2,2006,0.399617,0.265957,0.054343,0.063899,vehicle
2,2007,0.424126,0.057681,0.022066,0.031208,vehicle
2,2008,0.446757,0.056161,0.013009,0.021010,vehicle
2,2009,0.446865,0.027982,0.014680,0.016005,vehicle
2,2010,0.439218,0.166879,0.035055,0.037364,vehicle
2,2011,0.466520,0.067030,0.016488,0.021735,vehicle
2,2012,0.473793,0.006717,0.007387,0.011494,vehicle
2,2013,0.600487,0.105267,0.037898,0.026317,vehicle
2,2014,0.563035,0.365045,0.149091,0.080636,vehicle
2,2015,0.565930,0.407349,0.160908,0.089627,vehicle
2,2016,0.570131,0.454239,0.179547,0.106460,vehicle
2,2017,0.588707,0.512524,0.174358,0.121017,vehicle
2,2018,0.582211,0.594002,0.196645,0.152213,vehicle
2,2019,0.628075,0.326488,0.107348,0.076482,vehicle
2,2020,0.680532,0.308533,0.099201,0.075840,vehicle
2,2021,0.707000,0.286916,0.105521,0.072270,vehicle
2,2022,0.779502,0.275678,0.083884,0.074503,vehicle
2,2023,0.807090,0.164010,0.084297,0.055474,vehicle
2,2024,0.835553,0.270918,0.070451,0.066537,vehicle
2,2025,0.878320,0.263475,0.064498,0.065932,vehicle
2,2026,0.926052,0.264094,0.058750,0.063264,vehicle
3,3000,0.143824,0.524276,0.122315,0.157310,vehicle
